# t p0=0.20 p0=0.45 p0=0.66 p0=0.75 p0=0.85
1.830000 0.032176 0.205898 0.672586 0.833315 0.932553
1.840000 0.031794 0.204447 0.672686 0.833825 0.932908
1.850000 0.031415 0.202999 0.672786 0.834334 0.933261
1.860000 0.031041 0.201554 0.672886 0.834844 0.933614
1.870000 0.030671 0.200112 0.672987 0.835353 0.933965
1.880000 0.030304 0.198674 0.673089 0.835863 0.934314
1.890000 0.029942 0.197238 0.673190 0.836373 0.934663
1.900000 0.029584 0.195806 0.673293 0.836884 0.935010
1.910000 0.029230 0.194378 0.673395 0.837394 0.935355
1.920000 0.028879 0.192952 0.673499 0.837904 0.935700
1.930000 0.028533 0.191531 0.673602 0.838415 0.936043
1.940000 0.028190 0.190113 0.673706 0.838925 0.936385
1.950000 0.027851 0.188698 0.673811 0.839436 0.936725
1.960000 0.027516 0.187288 0.673915 0.839947 0.937064
1.970000 0.027185 0.185881 0.674021 0.840457 0.937402
1.980000 0.026858 0.184478 0.674127 0.840968 0.937739
1.990000 0.026534 0.183080 0.674233 0.841479 0.938074
2.000000 0.026213 0.181685 0.674339 0.841990 0.938408
2.010000 0.025897 0.180295 0.674447 0.842501 0.938741
2.020000 0.025584 0.178908 0.674554 0.843012 0.939073
2.030000 0.025274 0.177527 0.674662 0.843522 0.939403
2.040000 0.024968 0.176149 0.674771 0.844033 0.939732
2.050000 0.024665 0.174776 0.674880 0.844544 0.940059
2.060000 0.024366 0.173407 0.674989 0.845055 0.940385
2.070000 0.024070 0.172043 0.675099 0.845566 0.940710
2.080000 0.023778 0.170684 0.675209 0.846076 0.941034
2.090000 0.023489 0.169330 0.675320 0.846587 0.941356
2.100000 0.023203 0.167980 0.675431 0.847098 0.941677
2.110000 0.022921 0.166635 0.675543 0.847608 0.941997
2.120000 0.022641 0.165295 0.675655 0.848119 0.942315
2.130000 0.022365 0.163960 0.675768 0.848629 0.942633
2.140000 0.022093 0.162630 0.675881 0.849139 0.942948
2.150000 0.021823 0.161305 0.675995 0.849650 0.943263
2.160000 0.021556 0.159985 0.676109 0.850160 0.943576
2.170000 0.021293 0.158671 0.676223 0.850669 0.943888
2.180000 0.021032 0.157362 0.676339 0.851179 0.944199
2.190000 0.020775 0.156058 0.676454 0.851689 0.944508
2.200000 0.020520 0.154760 0.676570 0.852198 0.944816
2.210000 0.020268 0.153467 0.676687 0.852707 0.945123
2.220000 0.020020 0.152179 0.676804 0.853217 0.945429
2.230000 0.019774 0.150898 0.676921 0.853726 0.945733
2.240000 0.019531 0.149621 0.677039 0.854234 0.946036
2.250000 0.019291 0.148351 0.677158 0.854743 0.946337
2.260000 0.019054 0.147086 0.677277 0.855251 0.946638
2.270000 0.018819 0.145827 0.677396 0.855759 0.946937
2.280000 0.018588 0.144574 0.677516 0.856267 0.947234
2.290000 0.018359 0.143327 0.677637 0.856775 0.947531
2.300000 0.018132 0.142086 0.677758 0.857282 0.947826
2.310000 0.017909 0.140851 0.677879 0.857789 0.948120
2.320000 0.017688 0.139621 0.678001 0.858296 0.948413
2.330000 0.017469 0.138398 0.678124 0.858802 0.948704
2.340000 0.017253 0.137181 0.678247 0.859309 0.948994
2.350000 0.017040 0.135970 0.678370 0.859815 0.949283
2.360000 0.016829 0.134766 0.678494 0.860320 0.949570
2.370000 0.016621 0.133567 0.678619 0.860825 0.949857
2.380000 0.016415 0.132375 0.678744 0.861330 0.950142
2.390000 0.016212 0.131189 0.678870 0.861835 0.950426
2.400000 0.016011 0.130010 0.678996 0.862339 0.950708
2.410000 0.015812 0.128837 0.679122 0.862843 0.950989
2.420000 0.015616 0.127670 0.679250 0.863347 0.951269
2.430000 0.015422 0.126510 0.679377 0.863850 0.951548
2.440000 0.015231 0.125356 0.679506 0.864353 0.951825
2.450000 0.015041 0.124209 0.679634 0.864856 0.952101
2.460000 0.014854 0.123068 0.679764 0.865358 0.952376
2.470000 0.014670 0.121934 0.679893 0.865859 0.952650
2.480000 0.014487 0.120807 0.680024 0.866360 0.952922
2.490000 0.014307 0.119686 0.680155 0.866861 0.953194
2.500000 0.014128 0.118572 0.680286 0.867362 0.953463
2.510000 0.013952 0.117464 0.680418 0.867861 0.953732
2.520000 0.013778 0.116363 0.680551 0.868361 0.954000
2.530000 0.013607 0.115269 0.680684 0.868860 0.954266
2.540000 0.013437 0.114182 0.680818 0.869358 0.954531
2.550000 0.013269 0.113102 0.680952 0.869856 0.954794
2.560000 0.013103 0.112028 0.681087 0.870354 0.955057
2.570000 0.012940 0.110961 0.681222 0.870851 0.955318
2.580000 0.012778 0.109901 0.681358 0.871348 0.955578
2.590000 0.012618 0.108848 0.681494 0.871844 0.955837
2.600000 0.012460 0.107801 0.681631 0.872339 0.956095
2.610000 0.012304 0.106762 0.681769 0.872834 0.956351
2.620000 0.012150 0.105729 0.681907 0.873328 0.956606
2.630000 0.011998 0.104703 0.682046 0.873822 0.956860
2.640000 0.011848 0.103684 0.682185 0.874315 0.957113
2.650000 0.011699 0.102672 0.682325 0.874808 0.957364
2.660000 0.011552 0.101667 0.682465 0.875300 0.957615
2.670000 0.011407 0.100669 0.682606 0.875792 0.957864
2.680000 0.011264 0.099678 0.682748 0.876283 0.958112
2.690000 0.011123 0.098694 0.682890 0.876773 0.958358
2.700000 0.010983 0.097716 0.683033 0.877263 0.958604
2.710000 0.010845 0.096746 0.683176 0.877752 0.958848
2.720000 0.010709 0.095782 0.683320 0.878240 0.959091
2.730000 0.010574 0.094826 0.683464 0.878728 0.959333
2.740000 0.010441 0.093876 0.683609 0.879215 0.959574
2.750000 0.010310 0.092934 0.683755 0.879702 0.959814
2.760000 0.010180 0.091998 0.683901 0.880188 0.960052
2.770000 0.010052 0.091069 0.684048 0.880673 0.960289
2.780000 0.009926 0.090147 0.684196 0.881157 0.960525
2.790000 0.009801 0.089232 0.684344 0.881641 0.960760
2.800000 0.009677 0.088324 0.684493 0.882124 0.960994
2.810000 0.009555 0.087423 0.684642 0.882607 0.961227
2.820000 0.009435 0.086529 0.684792 0.883088 0.961458
2.830000 0.009316 0.085642 0.684942 0.883569 0.961688
2.840000 0.009198 0.084761 0.685093 0.884049 0.961917
2.850000 0.009082 0.083888 0.685245 0.884529 0.962145
2.860000 0.008967 0.083021 0.685397 0.885007 0.962372
2.870000 0.008854 0.082161 0.685550 0.885485 0.962598
2.880000 0.008742 0.081308 0.685704 0.885963 0.962822
2.890000 0.008632 0.080462 0.685858 0.886439 0.963046
2.900000 0.008523 0.079623 0.686013 0.886915 0.963268
2.910000 0.008415 0.078790 0.686168 0.887389 0.963489
2.920000 0.008309 0.077964 0.686325 0.887864 0.963709
2.930000 0.008203 0.077145 0.686481 0.888337 0.963928
2.940000 0.008100 0.076333 0.686639 0.888809 0.964146
2.950000 0.007997 0.075527 0.686797 0.889281 0.964362
2.960000 0.007896 0.074729 0.686955 0.889752 0.964578
2.970000 0.007796 0.073936 0.687114 0.890222 0.964792
2.980000 0.007697 0.073151 0.687274 0.890691 0.965006
2.990000 0.007600 0.072372 0.687435 0.891159 0.965218
3.000000 0.007503 0.071600 0.687596 0.891626 0.965429
3.010000 0.007408 0.070834 0.687758 0.892093 0.965639
3.020000 0.007314 0.070075 0.687920 0.892558 0.965848
3.030000 0.007222 0.069322 0.688084 0.893023 0.966056
3.040000 0.007130 0.068576 0.688247 0.893487 0.966262
3.050000 0.007040 0.067837 0.688412 0.893950 0.966468
3.060000 0.006950 0.067104 0.688577 0.894412 0.966673
3.070000 0.006862 0.066377 0.688743 0.894873 0.966876
3.080000 0.006775 0.065657 0.688909 0.895334 0.967079
3.090000 0.006689 0.064943 0.689076 0.895793 0.967280
3.100000 0.006604 0.064236 0.689244 0.896251 0.967480
3.110000 0.006520 0.063535 0.689413 0.896709 0.967680
3.120000 0.006437 0.062840 0.689582 0.897165 0.967878
3.130000 0.006355 0.062152 0.689751 0.897621 0.968075
3.140000 0.006275 0.061470 0.689922 0.898076 0.968271
3.150000 0.006195 0.060794 0.690093 0.898529 0.968466
3.160000 0.006116 0.060124 0.690265 0.898982 0.968660
3.170000 0.006038 0.059460 0.690437 0.899434 0.968853
3.180000 0.005962 0.058803 0.690611 0.899885 0.969045
3.190000 0.005886 0.058151 0.690784 0.900334 0.969236
3.200000 0.005811 0.057506 0.690959 0.900783 0.969426
3.210000 0.005737 0.056867 0.691134 0.901231 0.969614
3.220000 0.005664 0.056234 0.691310 0.901678 0.969802
3.230000 0.005592 0.055606 0.691487 0.902123 0.969989
3.240000 0.005520 0.054985 0.691664 0.902568 0.970175
3.250000 0.005450 0.054370 0.691842 0.903012 0.970360
3.260000 0.005381 0.053760 0.692021 0.903454 0.970543
3.270000 0.005312 0.053156 0.692201 0.903896 0.970726
3.280000 0.005244 0.052559 0.692381 0.904337 0.970908
3.290000 0.005178 0.051966 0.692562 0.904776 0.971089
3.300000 0.005112 0.051380 0.692743 0.905215 0.971269
3.310000 0.005046 0.050799 0.692926 0.905652 0.971447
3.320000 0.004982 0.050224 0.693109 0.906088 0.971625
3.330000 0.004919 0.049655 0.693292 0.906524 0.971802
3.340000 0.004856 0.049091 0.693477 0.906958 0.971978
3.350000 0.004794 0.048533 0.693662 0.907391 0.972153
3.360000 0.004733 0.047980 0.693848 0.907823 0.972327
3.370000 0.004672 0.047433 0.694035 0.908254 0.972500
3.380000 0.004613 0.046891 0.694222 0.908684 0.972672
3.390000 0.004554 0.046355 0.694410 0.909113 0.972843
3.400000 0.004496 0.045824 0.694599 0.909540 0.973013
3.410000 0.004438 0.045298 0.694789 0.909967 0.973182
3.420000 0.004381 0.044778 0.694979 0.910392 0.973350
3.430000 0.004325 0.044263 0.695170 0.910816 0.973518
3.440000 0.004270 0.043753 0.695362 0.911240 0.973684
3.450000 0.004216 0.043248 0.695554 0.911662 0.973849
3.460000 0.004162 0.042748 0.695748 0.912083 0.974014
